Restaurant Name,Longitude,Latitude,Average Cost for two,Aggregate rating,Cuisines
Templo da Carne - Marcos Bassi,-46.64633333,-23.559,250,4.4,"Steak, BBQ"
Gopala Hari,-46.65866667,-23.55616667,70,3.1,Indian
Jiquitaia,-46.657523,-23.55671,100,4.1,Brazilian
Skye - Hotel Unique,-46.666851,-23.581688,300,4.8,"Beverages, International"
Les 3 Brasseurs,-46.67511,-23.582135,120,4.6,"French, Brazilian, Beverages"
Red Steak & Burger,-46.683888,-23.585324,75,3.9,"Brazilian, Grill"
Cantinho da Gula,-46.67566667,-23.581,55,0,Brazilian
Paris 6 Classique,-46.666041,-23.561568,200,3.4,French
Kawa Sushi,-46.657418,-23.571638,120,3.5,"Sushi, Japanese"
A Figueira Rubaiyat,-46.66983333,-23.5655,300,4.3,"BBQ, Grill, Brazilian"
Kinoshita,-46.67133333,-23.59233333,230,3.9,Sushi
Meats,-46.68133333,-23.56483333,120,4.3,"Gourmet Fast Food, Burger"
Paribar,-46.64159444,-23.54664167,150,4.3,"Brazilian, Italian"
Terra?_o It??lia,-46.643425,-23.545163,400,4.4,Italian
Divino Fog??o,-46.63716667,-23.5995,65,0,"Brazilian, Mineira"
Super Grill,-46.698574,-23.622925,50,0,Brazilian
Esquina Mocot?_,-46.581672,-23.486535,100,4.4,"Brazilian, North Eastern"
Veloso,-46.63566667,-23.58516667,70,4.6,"Brazilian, Bar Food, Beverages"
Sainte Marie Gastronomia,-46.746958,-23.609207,120,4.1,"Lebanese, Arabian"
Austin's BBQ and Oyster Bar,-84.221535,31.610387,25,3.3,"BBQ, Burger, Seafood"
BJ's Country Buffet,-84.207095,31.608743,10,3.3,"American, BBQ"
Cookie Shoppe,-84.154,31.5772,0,3.4,
El Vaquero Mexican Restaurant,-84.2194,31.6158,0,3.4,Mexican
Elements Coffee Co - Northwest,-84.206944,31.622412,10,3.4,"Coffee and Tea, Sandwich"
Pearly's Famous Country Cookng,-84.1759,31.5882,0,3.4,
Chick-fil-A,-84.2193,31.616,10,3.5,Fast Food
Guang Zhou Chinese Restaurant,-84.2091458,31.6155186,10,3.9,"Asian, Chinese, Vegetarian"
Harvest Moon,-84.205718,31.604905,25,3.7,"Pizza, Bar Food, Sandwich"
Henry Campbell's Steakhouse,-84.223278,31.612121,70,3.5,"Steak, Tapas, Bar Food"
Hong Kong Cafe,-84.2191,31.6156,25,3.6,"Chinese, Seafood, Vegetarian"
House of China Restaurant II,-84.212,31.6104,10,3.8,Chinese
Jimmie's Hot Dogs,-84.1534,31.5751,10,3.9,
Locos Grill & Pub,-84.2228,31.6077,25,3.5,"American, Burger, Sandwich"
Longhorn Steakhouse,-84.2229,31.6185,25,3.5,"American, Steak"
Mikata Japanese Steakhouse,-84.2164,31.6137,40,3.6,"Japanese, Steak, Sushi"
Shogun Japanese Steak House,-84.2233,31.6118,40,3.5,"Japanese, Steak, Sushi"
The Catch Seafood Room & Oyster Bar,-84.205025,31.605882,40,3.8,"Seafood, Tapas, Bar Food"
Villa Gargano,-84.1757,31.5985,10,3.7,"Italian, Pizza"
3 Squares Diner,-83.8389,31.5308,10,3.4,"American, Breakfast, Diner"
Whitebull Hotel,151.6688792,-30.5147169,20,3.5,"Bar Food, Steak"
Last Resort Grill,-83.378273,33.957999,40,4.5,"American, Southern, Southwestern"
Mama's Boy Restaurant,-83.3654,33.9535,10,4.5,Southern
Sr. Sol 1,-83.4293,33.9652,10,4.6,Mexican
Choo Choo Eastside,-83.3389,33.9259,10,3.9,"Japanese, Korean"
The Grill,-83.375523,33.958198,10,3.7,"Breakfast, Burger, Sandwich"
Big City Bread Cafe,-83.384004,33.959392,10,4.3,"Breakfast, Sandwich"
Clocked,-83.3797,33.9584,10,4.2,"American, Burger, Sandwich"
DePalma's Italian Cafe - Downtown,-83.373596,33.958112,25,4,"American, Italian, Pizza"
DePalma's Italian Cafe - East Side,-83.33995,33.924275,25,4.1,"American, Italian, Pizza"
Five & Ten,-83.3872482,33.9415545,40,4.3,American
Grit,-83.381625,33.960112,10,4.2,"International, Southern, Vegetarian"
Ike & Jane,-83.400887,33.963296,10,4.1,Sandwich
La Dolce Vita Ristorante,-83.4075,33.9584,40,4.1,Italian
Shokitini,-83.379251,33.957503,25,4.2,"Asian, Japanese, Sushi"
Taqueria Del Sol,-83.383605,33.960571,10,4.1,"Mexican, Spanish"
The National,-83.37967,33.959468,40,4.1,"International, Southern"
The Royal Peasant,-83.38728,33.937502,10,4.4,Bar Food
Transmetropolitan,-83.3764,33.9584,10,4.4,"Italian, Pizza, Sandwich"
Trappeze Pub,-83.378881,33.958363,25,4.2,"Burger, Bar Food"
Viva! Argentine Cuisine,-83.3828224,33.9600227,10,4.1,"Desserts, Latin American, Argentine"
Miyabi Kyoto Japanese Steak House,-82.0865,33.4721,40,4.6,"Chinese, Steak"
Rae's Coastal Cafe,-82.0698,33.4791,40,4.9,"American, Caribbean, Seafood"
The Bee's Knees,-81.97,33.4765,25,4.5,"International, Tapas, Vegetarian"
Boll Weevil Cafe,-81.9684,33.474,10,3.9,"Desserts, Sandwich, Southern"
Farmhaus Burger,-81.973006,33.477444,25,3.9,"American, Burger"
Manuel's Bread Cafe,-81.965571,33.481779,40,3.8,"Breakfast, French"
Sconyers Bar B Que,-82.0327,33.4086,25,3.5,BBQ
Frog Hollow Tavern,-81.974944,33.478231,40,4.3,American
Giuseppe's Pizza & Italian Specialities,-82.096,33.4827,25,4.1,"Desserts, Italian, Pizza"
Mellow Mushroom,-81.9721,33.4778,25,4.4,"Italian, Pizza, Sandwich"
Nacho Mamas Burritos,-81.9694,33.4764,10,4,Mexican
Rhinehart's Oyster Bar,-82.0505,33.5133,25,4,"Bar Food, Sandwich, Seafood"
Takosushi,-82.0301,33.4848,40,4.2,"Mexican, Southwestern, Sushi"
The Chop House,-82.080788,33.467201,40,4,Steak
The Taj of India,-82.0805493,33.5375868,25,4,Indian
Augsburg Haus,-82.143793,33.544342,25,3.9,German
Pho Bac,-82.126161,33.532249,10,4.1,Vietnamese
Rhinehart's Oyster Bar,-82.141284,33.521291,25,4,"Burger, Seafood"
Thai Kitchen,-82.1328,33.5406,35,4.3,Thai
El Kiosco Mexican Restaurant,-82.1997,33.4574,10,4.2,Mexican
Taste of Balingup,115.9844924,-33.7845269,20,3.2,Modern Australian
Bridge Road Brewers,146.685852,-36.360439,20,4.6,"Pizza, Bar Food"
Bardenay,-116.2019,43.6138,25,4.5,"American, Bar Food"
Flatbread Neapolitan Pizzeria,-116.203466,43.616068,25,4.6,"Italian, Pizza"
Goldy's Breakfast Bistro,-116.2023,43.6149,25,4.5,"Breakfast, Sandwich"
Chandlers Steakhouse,-116.2064,43.6157,70,3.9,"American, Seafood, Steak"
Bar Gernika Basque Pub & Eatery,-116.2031,43.614,10,4.3,"European, Spanish"
Barbacoa Restaurant,-116.185034,43.597235,70,4.1,"Latin American, Steak"
Big Jud's,-116.2062,43.5945,10,4.2,"American, Burger, Sandwich"
Bittercreek Ale House,-116.2022,43.6167,25,4.3,"American, Bar Food"
Boise Fry Company,-116.193409,43.610279,10,4.4,"American, Burger"
Flying Pie Pizzaria,-116.2625,43.6192,25,4.1,Pizza
Fork,-116.202845,43.616295,25,4.4,"American, Burger"
Guido's Original New York Style Pizza,-116.199,43.615,10,4.3,Pizza
Los Beto's,-116.2463,43.6191,10,4.4,Mexican
Lucianos Italian Restaurant,-116.245165,43.6051379,25,4.4,"Italian, Seafood, Vegetarian"
Mai Thai Restaurant,-116.2021,43.6162,40,4,"Sushi, Thai"
Shige Japanese Cuisine,-116.2031,43.6156,25,4.1,"Japanese, Sushi, Teriyaki"
The Egg Factory,-116.281809,43.619274,10,4.3,Breakfast
Tucanos,-116.280614,43.591706,40,4,Brazilian
Texas Roadhouse,-116.347304,43.619108,25,4,"American, BBQ, Steak"
Brick 29,-116.5629,43.5777,40,4.4,American
Winifreds,-91.6336,42.0179,40,3.7,"American, Mediterranean, Seafood"
Biaggi's Ristorante Italiano,-91.6327,42.0281,40,4.1,"Italian, Pizza"
El Super Burrito,-91.7148,41.9748,10,4.1,Mexican
Granite City Food & Brewery,-91.6224,42.0249,40,4.1,"American, Breakfast, Burger"
Irish Democrat,-91.6347,42.01,25,4.4,"American, BBQ, Burger"
Taste of India,-91.6499622,42.0215347,25,4.2,Indian
Thai Moon Restaurant,-91.7266,41.9639,10,4.2,"Chinese, Sushi, Thai"
Ting's Red Lantern,-91.6394,42.0468,10,4.2,Chinese
Monica's,-91.569767,41.670466,25,3.8,"American, Italian, Pizza"
Exotic India,-91.5687,41.6685,25,4.1,Indian
Shorts Burger and Shine,-91.534424,41.660982,10,4.9,Burger
The Hamburg Inn No. 2 Inc.,-91.531414,41.663849,10,4.5,"American, Breakfast, Burger"
Bluebird Diner,-91.531093,41.663751,25,3.6,"Breakfast, Diner"
Graze,-91.534302,41.658691,40,3.8,"American, International, Sushi"
A & A Pagliai's Pizza,-91.5314,41.6648,25,4.3,Pizza
Atlas World Grill,-91.5341,41.661,40,4.3,International
BlackStone,-91.482165,41.667742,25,4.1,"American, Breakfast"
Devotay,-91.5318,41.6625,40,4,"Mediterranean, Tapas, Vegetarian"
Jimmy Jack's Rib Shack,-91.5074,41.6428,25,4.2,BBQ
Zoeys Pizzeria,-91.5995,42.0331,25,4.7,"Pizza, Sandwich"
Tokyo Sushi,-82.188438,42.397683,25,3.7,"Japanese, Sushi"
Berry Patch Restaurant,-123.368151,46.126967,10,4.3,"American, Breakfast, Desserts"
Sakura Sushi & Grill,-114.472474,51.183934,25,3.1,"Asian, Japanese"
Uptown Vietnam cuisine,-84.992671,32.470315,10,3.3,"Asian, Vietnamese"
Cafe Le Rue @ The Landings,-84.95591,32.519247,25,4.6,"American, Seafood, Cajun"
Mark's City Grille,-84.927047,32.555591,25,4.5,American
B Merrell's,-84.9436,32.5577,25,3.8,"Burger, Bar Food, Southern"
Cannon Brewpub,-84.9936,32.4656,25,3.9,"Pizza, Bar Food"
Fuji Japanese Steak House,-84.954984,32.5382197,40,3.9,"Japanese, Steak"
Ruth Ann's Family Restaurant,-84.9876,32.4637,10,3.7,"Breakfast, Diner, Southern"
Samurai Japanese Cuisine & Sushi Bar,-84.9933631,32.4652417,40,3.6,"Japanese, Steak, Sushi"
Wasabi Sushi and Thai,-84.96661,32.534002,40,3.7,"Japanese, Sushi, Thai"
Buckhead Bar and Grill,-84.95367,32.513154,40,4.2,"Seafood, Steak, Vegetarian"
Burt's Butcher Shoppe and Eatery,-84.947569,32.504657,25,4.3,Steak
Chef Lee's Peking Restaurant,-84.9607,32.5393,25,4,Chinese
Country's Barbecue,-84.9464,32.4792,25,4,"BBQ, Southern"
Deorio's,-84.9427,32.481,0,4,"Italian, Pizza"
Mellow Mushroom,-84.9557,32.5321,25,4.1,Pizza
Meritage,-84.992093,32.466158,40,4.1,"American, Tapas"
Mongo The Mongolian Fire Pit,-84.938698,32.560905,10,4.2,"Asian, Chinese"
The Black Cow,-84.991384,32.468757,25,4.3,American
Wood Stone,-84.963201,32.527217,40,4,"Italian, Mediterranean, Pizza"
Hunter's Pub,-85.0213,32.7455,40,4.4,"American, Seafood, Steak"
Consort Restaurant,-110.7746994,52.0082889,25,3,"Chinese, Canadian"
Thatcher's Barbeque and Grill,-84.9396931,34.5251331,25,3.7,"American, BBQ, Southern"
Christian and Jake's Bistro,-84.926258,34.474635,10,4.4,"Desserts, Sandwich"
Dub's High on the Hog,-84.9523921,34.4972488,25,4.4,BBQ
Sierra's Mexican Restaurant,-84.767911,34.752476,10,3.9,"Mexican, Tex-Mex"
Oakwood Cafe,-84.969393,34.769686,10,4.9,"BBQ, Breakfast, Southern"
Chili's Grill & Bar,-85.0039,34.7643,25,3.8,American
Fuji Japanese Steakhouse,-84.992342,34.759551,40,3.8,"Japanese, Sushi"
Las Palmas,-84.992924,34.759665,10,3.8,Mexican
Tony's Italian Restaurant & Pizza,-84.999678,34.758645,25,3.7,Italian
Filling Station,-84.9678,34.7742,10,4.1,"American, Burger"
Five Guys Burgers and Fries,-84.990925,34.759273,10,4.1,Fast Food
Los Pablos,-84.9964,34.7604,10,4.1,Mexican
Kobe Hibachi & Sushi,-85.2229101,34.9428786,25,4.6,"American, Japanese, Sushi"
Soho Hibachi,-85.246237,34.9528157,10,4.3,Japanese
Thai Garden,-85.2545,34.9546,25,4.2,Thai
Southern Bliss Bakery,-85.294955,34.705093,10,3.7,"Desserts, Sandwich"
Bailey's Bar-B-Que,-85.1321,34.9273,10,4.1,BBQ
Farm To Fork,-85.130492,34.912109,10,4.3,"American, Diner, Southern"
Home Plate Grill,-85.1079396,34.9151853,10,4.2,"American, BBQ, Southern"
Pie Slingers Pizzeria,-85.249727,34.851907,10,4.1,"Italian, Pizza"
Olive Tree Cafe,-90.496986,41.574935,25,4.6,"Indian, Mediterranean, Middle Eastern"
"Red Ginger Sushi, Grill & Bar",-90.522479,41.53845,40,4.5,"Sushi, Teriyaki"
Crust Stone Oven Pizza,-90.4912446,41.5747801,25,3.9,"Burger, Pizza"
Jimmy's Pancake House,-90.504176,41.548746,10,4,"American, Breakfast, Greek"
Trattoria Tiramisu,-90.50709,41.525384,25,4.1,Italian
Prairie Grille at SteepleGate Inn,-90.574088,41.593892,25,3.4,"American, Breakfast"
Tantra Asian Bistro,-90.565837,41.574459,25,4.9,Asian
Chick-fil-A,-90.5716,41.5604,10,3.9,Fast Food
Duck City Bistro,-90.5737,41.5223,70,3.7,"American, French"
Frick's Tap,-90.59466452,41.52253634,25,0,"American, Bar Food, BBQ"
Los Agaves,-90.5154313,41.5709434,25,0,Mexican
Azteca,-90.5683,41.5699,0,4.3,Mexican
China Cafe,-90.5321,41.5749,25,4,Chinese
Exotic Thai Restaurant,-90.5432,41.5747,25,4.1,Thai
Front Street Brewery,-90.572418,41.520389,10,4.3,American
Granite City Food & Brewery,-90.5137,41.5745,25,4,American
Los Agaves,-90.5686,41.559,25,4.1,Mexican
Machine Shed Restaurant,-90.6136,41.5944,25,4.1,American
Osaka,-90.515175,41.570997,40,4.2,"Japanese, Sushi"
Texas Roadhouse,-90.517,41.5747,25,4.2,"American, BBQ, Steak"
Hickory Park,-93.610084,42.010254,25,4.5,"BBQ, Burger, Desserts"
The Cafe,-93.643094,42.048779,25,4.9,"American, Coffee and Tea"
Flying Mango,-93.677638,41.614965,40,4.5,"BBQ, Caribbean, Cajun"
Cool Basil,-93.739573,41.600564,25,4.1,"Asian, Sushi, Thai"
HuHot Mongolian Grill,-93.760027,41.60028,25,4,"Asian, Chinese"
Malo,-93.627896,41.583309,25,3.2,"Latin American, Mexican"
Centro,-93.6300803,41.5857431,40,4.5,"Italian, Pizza"
Fong's Pizza,-93.621631,41.585465,25,4.6,"Chinese, Pizza"
A Dong Restaurant,-93.637401,41.587219,10,4.4,"Asian, Vegetarian, Vietnamese, Bubble Tea"
Court Avenue Brewing Company,-93.620726,41.58536,40,4.2,"American, Pizza, Bar Food"
Django,-93.629436,41.584027,40,4.3,French
Miyabi 9,-93.611366,41.590819,25,4.8,"Japanese, Sushi"
Zombie Burger + Drink Lab,-93.61474,41.590106,10,4.2,"Burger, Desserts, Vegetarian"
Tursi's Latin King,-93.577383,41.601415,70,4.1,"American, Italian"
Tsing Tsao South,-93.645245,41.545869,10,4.1,Chinese
Bandit Burrito,-93.6976773,41.6714654,10,4,"Breakfast, Mexican, Southwestern"
Jethro's BBQ,-93.659797,41.603901,25,4.3,"American, BBQ"
The Machine Shed Restaurant,-93.772033,41.615083,25,3.8,"American, Breakfast"
Mi Patria,-93.73624,41.594039,25,4,Latin American
Waterfront Seafood Market,-93.7441981,41.5991771,40,4.2,"Seafood, Sushi"
The Giggling Goat,153.137401,-26.783576,7,3.6,"Coffee and Tea, Tea, Modern Australian"
Burnt Toast Cafe,-90.667668,42.504759,10,3.4,Breakfast
Catfish Charlie's,-90.6499328,42.5124724,25,3.3,Seafood
Salsa's Mexican Restaurant,-90.6684746,42.5032004,10,3.4,Mexican
Tony Roma's,-90.658609,42.496464,25,3.3,"American, BBQ, Seafood"
Vinny Vanucchi's,-90.664029,42.495689,25,3.4,Italian
Champps Americana,-90.715247,42.492018,25,3.5,"American, Burger, Sandwich"
Fiesta Cancun,-90.740213,42.49092,10,3.6,Mexican
Happy Joe's Pizza & Ice Cream,-90.7264,42.4955,0,3.5,"Desserts, Pizza, Ice Cream"
Houlihan's,-90.645294,42.516621,25,3.6,"American, Burger"
Ichiban Hibachi Steakhouse & Sushi Bar,-90.712084,42.492963,40,3.7,"Japanese, Steak, Sushi"
Kalmes Breaktime Bar & Grill,-90.6646,42.5043,25,3.6,"American, Burger"
L. May Eatery,-90.668164,42.503075,40,3.8,"International, Pizza"
Los Aztecas,-90.7055,42.4916,10,3.5,Mexican
Manna Java World Cafe,-90.6677349,42.500191,10,3.5,"Breakfast, Pizza"
Mario's Italian Restaurant,-90.6691,42.5048,25,3.6,"American, Italian"
Pepper Sprout Incorporated,-90.6651,42.4974,40,3.6,American
Shot Tower Inn,-90.6658,42.4963,25,3.6,"Italian, Pizza"
Sunshine Family Restaurant,-90.663686,42.4982789,10,3.5,"American, Breakfast, Burger"
Watershed Cafe,-90.684882,42.527556,25,3.7,"American, Burger, Pizza, Cafe"
Woodfire Grille,-90.658988,42.496378,70,3.6,"American, Seafood, Steak"
The Belle General,153.593331,-28.862663,20,4.1,Cafe
Jehova es Mi Pastor Tacos y Burritos,-119.252694,39.607515,10,3.7,Mexican
Flaxton Gardens,152.8771473,-26.6521332,30,3.5,"Tea, Modern Australian"
Bespoke Harvest,143.714315,-38.517292,20,3.7,"Cafe, Australian"
Houndstooth Grill & Tavern,-83.8461,34.0901,25,4.4,"American, Sandwich, Seafood"
Hawg Wild BBQ & Catfish House,-83.520693,34.61802,10,4.1,"BBQ, Burger, Seafood"
Bourbon Street Grille,-83.985353,34.532973,25,3.8,"American, Burger, Cajun"
Corkscrew Cafe,-83.9858,34.5318,40,3.9,
Smokin Gold BBQ,-83.983939,34.533626,10,3.9,BBQ
Hoka-Hoka Japanese Steak & Sushi,-83.989317,34.541044,10,4.4,"Chinese, Japanese, Thai"
Shenanigan's Irish Pub,-83.986119,34.533198,25,4.1,"Bar Food, Seafood, Vegetarian"
Fish Tales Lakeside Grille,-83.938024,34.183573,25,3.8,Seafood
Antebellum,-83.926217,34.185707,40,4.3,"American, Southern"
Moonie's Texas Barbecue,-83.927794,34.180043,10,4.1,"BBQ, Sandwich"
Atlanta Highway Seafood Market,-83.838457,34.285102,25,4.9,"Sandwich, Seafood, Cajun"
Eat at Thai,-83.857993,34.300182,10,4.6,Thai
Smoke House BBQ and Catering,-83.860098,34.222755,25,3.8,BBQ
2 Dog,-83.824023,34.300567,25,4.2,"American, European, Sandwich"
Longstreet Cafe,-83.8272,34.3166,10,4.3,Southern
Re-Cess,-83.82686,34.300332,25,4.2,"American, Southern"
Bodensee,-83.727741,34.701594,40,3.8,German
Hofer's Bakery & Cafe,-83.7345,34.7024,10,3.9,"German, Ice Cream"
Troll Tavern,-83.7334,34.7021,25,2.2,"Burger, German, Sandwich"
The Nacoochee Village Tavern & Pizzeria,-83.713498,34.691208,10,4,"Italian, Pizza, Sandwich"
Blue Bean Love Cafe,144.1387014,-37.3123267,20,3.8,"Cafe, Coffee and Tea, Modern Australian"
La Trattoria of Lavandula,144.110062,-37.275494,7,3.8,"Italian, Fusion, Cafe"
5 Little Pigs,150.6710743,-35.0388698,20,4.1,"Breakfast, Modern Australian"
Beach Box Cafe,145.7287133,-38.6347458,7,3.7,"Burger, Coffee and Tea, Modern Australian"
Funkey Monkey,147.9942247,-37.8783865,7,3.8,"Breakfast, Coffee and Tea"
Burger Queen Drive In,-120.3458,42.1885,10,3.6,"Burger, Desserts, Sandwich"
Blue Orchid Thai Restaurant,-96.7072,40.8143,25,4.5,Thai
Stillwater on Belmore,151.558475,-32.728097,20,3.6,"Breakfast, Coffee and Tea"
Mr.,144.564174,-37.423189,20,3.5,Cafe
Emilio's Cuban Cafe,-83.594494,32.567741,25,3.9,"Coffee and Tea, Cuban, Latin American"
Ingleside Village Pizza,-83.657061,32.853896,10,4.9,"Pizza, Sandwich"
Jim Shaw's Seafood Grill & Bar,-83.6737,32.8496,25,4.6,Seafood
Mandarin Chinese Restaurant,-83.6766,32.8899,25,4.5,"Chinese, Thai"
Rookery,-83.6279,32.8361,25,4.5,"Burger, Desserts, Bar Food"
Dovetail,-83.627979,32.83641,40,3.8,
Bonefish Grill,-83.713978,32.929278,40,4.1,"American, Seafood"
Downtown Grill,-83.6276,32.8375,70,4,Steak
Greek Corner Deli,-83.628703,32.83654,10,4.3,"Desserts, Greek, Sandwich"
Natalia's,-83.787993,32.928495,70,4.2,"European, Italian, Mediterranean"
Papouli's Mediterranean Cafe & Market,-83.6873,32.901,10,4.2,"Greek, Mediterranean, Vegetarian"
Benson's Steak and Sushi,-83.662421,32.556873,25,3.7,"American, Chinese, Sushi"
My Fathers Place,-83.624,32.5786,25,3.7,Italian
Sushi Thai Restaurant,-83.6665,32.6184,10,3.7,"Japanese, Sushi, Thai"
The Mellow Mushroom,-83.691044,32.552684,25,3.8,"Pizza, Sandwich, Vegetarian"
El Jalisciense Mexican Restaurant,-83.64935,32.594666,10,4.1,Mexican
Greek Village,-83.636618,32.6176839,25,4,"American, Greek, Seafood"
Martin's BBQ,-83.600201,32.619321,25,4.2,BBQ
Thai Pepper,-83.665557,32.593264,10,4,"Japanese, Sushi, Thai"
Zen Japanese Steakhouse and Sushi Bar,-83.7184,32.6147,40,4.1,"Japanese, Steak, Sushi"
Star Buffet,151.7343832,-32.899178,20,2.9,Asian
Triangle Restaurant,-85.7363,46.3718,10,2.4,"Breakfast, Burger"
Three Anchors,117.917166,-35.025861,30,3.8,"Bar Food, Modern Australian"
HI Lite Bar & Lounge,-98.9891,44.5158,0,3.4,
Vince's Restaurant & Pizzeria,-89.653487,42.606306,25,3.6,"Italian, Pizza"
Poets Cafe,152.893735,-26.690462,30,2.4,"Coffee and Tea, Modern Australian"
The Artesian Restaurant,-106.057666,36.313638,40,3.6,"American, International, Southwestern"
Cev?_che Tapas Bar & Restaurant,-81.381077,28.540432,40,4.4,"Spanish, Tapas"
'Ohana,-81.585226,28.405437,45,4.5,Hawaiian
Earl of Sandwich,-81.514608,28.372858,35,4.7,"American, Sandwich, Salad"
Raglan Road Irish Pub and Restaurant,-81.517725,28.371338,50,4.3,Irish
Caf?? Tu Tu Tango,-81.469986,28.440344,40,4.6,"New American, Tapas"
Texas de Brazil,-81.4510725,28.4676808,100,4.6,"Brazilian, Steak"
Bahama Breeze Island Grille,-81.471526,28.437065,45,4.3,Caribbean
Maggiano's Little Italy,-81.471447,28.433235,50,4.4,Italian
Hawkers Asian Street Fare,-81.364347,28.560505,35,4.6,"Asian, Thai"
Tako Cheena by Pom Pom,-81.364547,28.557845,10,4.4,"Asian, Latin American, Vegetarian"
